Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	RH_f	Ts_f	Precip	SWC	LAI	ET	WS_f
1976	03	13	15.1223328	-9999	6.31733	-1.86913	57.2816	-9999	3.11973e-13	-9999	-9999	-9999	-9999
1976	03	14	13.1974272	-9999	8.93141	3.38243	62.0527	-9999	1.2114e-08	-9999	-9999	-9999	-9999
1976	03	15	14.834016	-9999	11.7455	3.48265	72.8125	-9999	0.168057	-9999	-9999	-9999	-9999
1976	03	16	15.3902592	-9999	8.28431	2.92448	63.4228	-9999	0.000107718	-9999	-9999	-9999	-9999
1976	03	17	12.9611232	-9999	13.3334	5.87468	58.5841	-9999	0.00321535	-9999	-9999	-9999	-9999
1976	03	18	13.830048	-9999	18.5521	7.00355	50.3351	-9999	0.0235377	-9999	-9999	-9999	-9999
1976	03	19	10.7259552	-9999	7.83696	2.99519	81.9911	-9999	3.43612	-9999	-9999	-9999	-9999
1976	03	20	12.9471264	-9999	8.03758	2.11741	82.884	-9999	4.89501	-9999	-9999	-9999	-9999
1976	03	21	7.97624064	-9999	6.79982	1.81971	93.6616	-9999	13.0241	-9999	-9999	-9999	-9999
1976	03	22	9.6278976	-9999	6.7122	2.09617	87.1769	-9999	2.83945	-9999	-9999	-9999	-9999
1976	03	23	12.1567392	-9999	7.69145	2.11607	78.1688	-9999	1.42564	-9999	-9999	-9999	-9999
1976	03	24	16.434144	-9999	9.42567	2.46345	79.6334	-9999	4.25039e-10	-9999	-9999	-9999	-9999
1976	03	25	10.8126144	-9999	10.8542	4.06477	89.139	-9999	0.497733	-9999	-9999	-9999	-9999
1976	03	26	13.8649536	-9999	13.757	6.29246	86.5871	-9999	0.0129474	-9999	-9999	-9999	-9999
1976	03	27	16.7164128	-9999	13.8081	5.88038	75.0581	-9999	8.56448e-12	-9999	-9999	-9999	-9999
1976	03	28	5.48051616	-9999	10.4919	6.98433	86.0193	-9999	7.39883	-9999	-9999	-9999	-9999
1976	03	29	10.4678784	-9999	9.19532	6.04667	94.3388	-9999	0.449715	-9999	-9999	-9999	-9999
1976	03	30	7.1321904	-9999	11.9094	6.79179	91.3119	-9999	14.8418	-9999	-9999	-9999	-9999
1976	03	31	17.5620096	-9999	15.2084	6.29274	69.6834	-9999	2.62868e-11	-9999	-9999	-9999	-9999
1976	04	01	14.0445792	-9999	15.8289	9.2508	61.0337	-9999	1.52337e-08	-9999	-9999	-9999	-9999
1976	04	02	12.2115168	-9999	12.9434	6.3302	74.4817	-9999	2.26965	-9999	-9999	-9999	-9999
1976	04	03	16.7056128	-9999	11.8027	6.20716	80.791	-9999	7.11286e-06	-9999	-9999	-9999	-9999
1976	04	04	17.1821088	-9999	13.9996	6.6323	73.5304	-9999	0	-9999	-9999	-9999	-9999
1976	04	05	5.65078464	-9999	10.3914	7.17106	90.9344	-9999	2.34497	-9999	-9999	-9999	-9999
1976	04	06	6.65580672	-9999	9.78461	3.22715	88.4464	-9999	5.30111	-9999	-9999	-9999	-9999
1976	04	07	13.5415584	-9999	10.2498	3.07639	86.9807	-9999	2.09181	-9999	-9999	-9999	-9999
1976	04	08	17.3069568	-9999	12.967	6.21836	72.4481	-9999	5.12774e-11	-9999	-9999	-9999	-9999
1976	04	09	15.0648768	-9999	18.6798	9.90629	67.4579	-9999	0	-9999	-9999	-9999	-9999
1976	04	10	8.55768672	-9999	14.3116	5.71491	88.3241	-9999	2.62616	-9999	-9999	-9999	-9999
1976	04	11	7.2556992	-9999	6.11869	5.35102	95.8622	-9999	0.46531	-9999	-9999	-9999	-9999
1976	04	12	17.9969472	-9999	11.4585	5.30231	76.5913	-9999	0.144758	-9999	-9999	-9999	-9999
1976	04	13	17.784576	-9999	14.6964	8.19883	59.2971	-9999	0.905498	-9999	-9999	-9999	-9999
1976	04	14	17.6039136	-9999	23.7044	11.4878	39.314	-9999	0	-9999	-9999	-9999	-9999
1976	04	15	7.46207424	-9999	11.8256	6.73703	95.738	-9999	2.56602	-9999	-9999	-9999	-9999
1976	04	16	19.6065792	-9999	12.67	5.75647	56.5077	-9999	5.45983e-08	-9999	-9999	-9999	-9999
1976	04	17	19.5763392	-9999	12.4031	6.62818	78.4169	-9999	0.325453	-9999	-9999	-9999	-9999
1976	04	18	19.3898016	-9999	12.5389	6.16013	82.5201	-9999	0.000716219	-9999	-9999	-9999	-9999
1976	04	19	20.5418592	-9999	12.2653	4.35672	55.6735	-9999	0	-9999	-9999	-9999	-9999
1976	04	20	17.8929216	-9999	16.04	8.37693	59.1712	-9999	0.0256565	-9999	-9999	-9999	-9999
1976	04	21	18.5569056	-9999	13.1978	6.73038	65.9428	-9999	1.06306e-05	-9999	-9999	-9999	-9999
1976	04	22	20.1326688	-9999	13.961	5.96088	72.2232	-9999	0	-9999	-9999	-9999	-9999
1976	04	23	19.9893312	-9999	11.1801	4.93711	64.6716	-9999	0.0887656	-9999	-9999	-9999	-9999
1976	04	24	10.1659104	-9999	12.1092	5.8722	70.923	-9999	0.402702	-9999	-9999	-9999	-9999
